N?m sinh,Gi?i tính,Trình ?? h?c v?n,Tình tr?ng hôn nhân,Th?i gian s? d?ng Facebook m?i ngày,S? l??ng b?n bè trên Facebook,S? bài ??ng m?i ngày,Lo?i n?i dung yêu thích,S? thích cá nhân,M?c ?? th? hi?n c?m xúc trên Facebook,M?c ?? bình lu?n trên Facebook,T?n su?t mua s?m trên Facebook
1996,Female,Bachelor's,In a Relationship,3 hours,750,2,Video,"Comedy, K-Pop",35,15,2 times per week
2002,Male,Unknown,Single,4.5 hours,1000,3,Text,"Gaming, Anime",50,30,Daily
1997,Female,Bachelor's,Divorced,2.5 hours,650,1,Image,"Music, Cooking",25,10,Once every two months
1995,Male,High School,Single,2.5 hours,450,3,Video,"Comedy, Memes",28,11,3 times per week
2000,Female,Bachelor's,In a Relationship,3 hours,550,4,Image,"Politics, Current Events",35,15,Once per week
1997,Male,High School,Married,4 hours,750,1,Text,"DIY, Art",42,18,Once per month
1999,Female,Master's,Divorced,1.5 hours,300,2,Image,"Photography, Drawing",10,5,Once per year
1990,Male,Doctoral,Single,2 hours,400,3,Text,"Cuisine, Poetry",20,8,Once per six months
1982,Female,Unknown,In a Relationship,2 hours,350,2,Video,"Music, Fashion",25,9,Daily
1990,Male,Bachelor's,Single,3 hours,600,5,Image,"Makeup, Sports",50,20,2 times per week
2003,Female,High School,Married,2.5 hours,500,4,Video,"Fitness, Yoga",30,12,Once every two months
1992,Male,Master's,Divorced,2 hours,350,2,Text,"Outdoor, Adventure",15,6,Once per quarter
2005,Female,Unknown,Single,1.5 hours,250,1,Image,"Social, Media, Travel",18,7,3 times per week
1998,Female,High School,Single,3 hours,450,3,Image,"DIY, Art",30,12,2 times per week
1996,Male,Bachelor's,In a Relationship,4 hours,600,5,Video,"Music, Comedy",40,18,Once every two weeks
1990,Female,Master's,Married,1.5 hours,200,1,Text,"Literature, Poetry",15,8,Once every three months
1985,Male,Doctoral,Single,3.5 hours,800,2,Video,"Science, Technology",55,25,Daily
2002,Female,Unknown,In a Relationship,2 hours,350,3,Image,"Baking, Cooking",25,12,2 times per week
1991,Male,Bachelor's,Single,2.5 hours,450,3,Text,"Travel, Adventure",45,22,3 times per week
1987,Female,High School,Married,2 hours,400,2,Image,"Fitness, Yoga",30,10,Once every two months
1994,Male,Master's,Divorced,2 hours,300,2,Text,"Makeup, Fashion",20,7,Once per quarter
2006,Female,Unknown,Single,1.5 hours,250,1,Video,"Travel, Outdoor",15,5,Once per month
1992,Male,High School,Married,3 hours,500,4,Image,"Gaming, Movies",35,15,Once every two months
1997,Female,Bachelor's,Single,2.5 hours,350,3,Image,"Literature, Poetry",25,10,2 times per week
1995,Male,Master's,In a Relationship,3 hours,550,4,Video,"Music, Comedy",40,17,Once every two weeks
1990,Female,Doctoral,Married,1 hour,150,1,Text,"Science, Technology",15,8,Once every three months
2003,Male,High School,Single,4 hours,700,0,Video,"Travel, Adventure",60,28,Daily
2004,Female,Unknown,In a Relationship,2 hours,400,3,Image,"Cooking, Baking",30,12,2 times per week
1991,Male,Bachelor's,Single,2.5 hours,450,3,Text,"Fitness, Yoga",45,20,3 times per week
2001,Female,High School,Married,2 hours,300,2,Image,"Makeup, Fashion",30,12,Once every two months
1994,Male,Master's,Divorced,2 hours,350,2,Text,"Music, Movies",20,6,Once per quarter
2002,Female,Unknown,Single,1.5 hours,250,1,Video,"Travel, Outdoor",15,5,Once per month
1992,Male,High School,Married,3 hours,500,4,Image,"Gaming, Movies",35,15,Once every two months
1993,Male,Bachelor's,Single,2.5 hours,400,3,Video,"Sports, Fitness",25,10,Once every month
1998,Female,High School,In a Relationship,3 hours,600,4,Image,"Travel, Adventure",35,15,Twice a week
1986,Male,Master's,Married,2 hours,350,2,Text,"Business, Finance",30,12,Once every two months
1991,Female,Unknown,Single,4 hours,700,0,Video,"Photography, Drawing",40,18,Once a week
1994,Male,Bachelor's,In a Relationship,2 hours,450,3,Text,"Music, Literature",45,20,Three times a week
1995,Female,High School,Married,3 hours,500,4,Video,"Cooking, Baking",30,12,Once a month
1993,Male,Bachelor's,Single,2.5 hours,450,3,Image,"Travel, Adventure",35,15,Twice a week
1998,Female,Master's,In a Relationship,2 hours,400,2,Text,"Business, Finance",30,12,Once every two months
1991,Male,Unknown,Single,4 hours,700,3,Video,"Photography, Drawing",40,18,Once a week
2000,Female,Bachelor's,In a Relationship,2 hours,450,3,Text,"Music, Literature",45,20,Three times a week
1997,Male,High School,Married,2.5 hours,300,2,Video,"Sports, Fitness",35,15,Once every two months
1993,Female,Master's,Single,3 hours,550,4,Image,"Technology, Science",50,20,Once a week
1990,Male,Unknown,In a Relationship,1.5 hours,250,1,Text,"Music, Movies",20,8,Once a month
1992,Female,Bachelor's,Single,3.5 hours,600,5,Video,"Fashion, Makeup",25,10,Twice a week
1996,Male,High School,Married,2 hours,400,3,Image,"Outdoor, Adventure",30,12,Once every two months
1988,Female,Bachelor's,Single,3 hours,700,2,Text,"Travel, Adventure",45,20,Three times a week
1994,Male,Master's,In a Relationship,2 hours,450,3,Video,"Business, Finance",35,15,Once every two months
2003,Female,Unknown,Single,1.5 hours,250,1,Image,"Photography, Drawing",20,8,Once a month
1992,Male,Bachelor's,Married,3 hours,500,4,Video,"Music, Movies",30,12,Once every two months
1997,Female,Master's,In a Relationship,2 hours,300,2,Text,"Fashion, Makeup",25,10,Once every two months
1993,Male,Unknown,Single,3.5 hours,600,5,Image,"Travel, Adventure",35,15,Twice a week
1996,Female,Bachelor's,Married,2.5 hours,350,3,Video,"Business, Finance",30,12,Once every two months
1995,Female,Bachelor's,Married,4 hours,700,0,Video,"Music, Literature",45,20,Twice a week
1998,Male,Master's,Single,3.5 hours,550,5,Text,"Business, Finance",40,18,Once every two months
1992,Female,High School,In a Relationship,2 hours,400,3,Image,"Travel, Adventure",35,15,Once a week
1994,Male,Doctoral,Married,1.5 hours,300,2,Video,"Cooking, Baking",30,12,Once every month
2004,Female,Unknown,Single,3 hours,600,4,Text,"Fashion, Makeup",40,18,Twice a week
1993,Male,Bachelor's,In a Relationship,2 hours,450,3,Image,"Sports, Fitness",35,14,Once a month
2005,Female,High School,Single,4 hours,700,6,Video,"Gaming, Technology",50,22,Once a week
1996,Male,Master's,Married,3.5 hours,600,5,Text,"Music, Movies",45,20,Twice a week
1995,Female,Unknown,Single,2 hours,400,3,Image,"Business, Finance",35,15,Once every month
1998,Male,Bachelor's,In a Relationship,2.5 hours,500,4,Video,"Travel, Adventure",40,18,Once every two weeks
1991,Female,Doctoral,Single,1 hour,300,2,Text,"Cooking, Baking",30,12,Once a week
2000,Male,High School,Married,4 hours,700,6,Video,"Sports, Fitness",45,20,Twice a week
1990,Female,Bachelor's,Single,3 hours,600,5,Image,"Fashion, Makeup",35,14,Once a month
1992,Male,Master's,In a Relationship,2 hours,400,3,Text,"Music, Movies",40,18,Once every two months
1994,Female,Unknown,Married,3.5 hours,600,5,Video,"Business, Finance",45,20,Twice a week
1999,Male,Bachelor's,Single,4 hours,700,4,Image,"Travel, Adventure",50,22,Once a week
1990,Female,Doctoral,In a Relationship,2.5 hours,500,4,Text,"Cooking, Baking",35,14,Once a month
1995,Male,High School,Single,3 hours,600,5,Video,"Gaming, Technology",40,18,Twice a week
1997,Female,Master's,Married,1 hour,300,2,Image,"Music, Literature",30,12,Once every month
1993,Male,Unknown,Single,4 hours,700,2,Video,"Business, Finance",45,20,Once a week
1997,Female,Bachelor's,In a Relationship,2.5 hours,500,4,Text,"Travel, Adventure",40,18,Once every two weeks
1991,Male,Doctoral,Married,1.5 hours,300,2,Image,"Fashion, Makeup",35,14,Once a month
2001,Female,High School,Single,3 hours,600,5,Video,"Cooking, Baking",45,20,Twice a week
1998,Male,Bachelor's,In a Relationship,4 hours,700,6,Text,"Sports, Fitness",50,22,Once a week
1992,Female,Master's,Married,2.5 hours,500,4,Image,"Business, Finance",35,15,Once every month
1994,Male,High School,Single,3 hours,600,5,Video,"Gaming, Technology",40,18,Twice a week
1996,Female,Bachelor's,In a Relationship,2 hours,400,3,Text,"Travel, Adventure",30,12,Once every two weeks
1998,Male,Master's,Married,1.5 hours,300,2,Image,"Cooking, Baking",25,10,Once a month
1990,Female,Unknown,Single,4 hours,700,1,Video,"Music, Movies",45,20,Twice a week
1998,Male,Bachelor's,In a Relationship,3 hours,600,5,Text,"Business, Finance",40,18,Once every month
1995,Female,High School,Married,4 hours,650,7,Image,"Music, Literature",40,18,Twice a week
2000,Male,Master's,Single,3 hours,500,4,Video,"Business, Finance",35,16,Once every two months
1991,Female,Bachelor's,In a Relationship,2 hours,300,2,Text,"Travel, Adventure",25,10,Once a week
1993,Male,Doctoral,Married,1.5 hours,250,1,Image,"Cooking, Baking",20,9,Once every month
2001,Female,Unknown,Single,3.5 hours,550,5,Video,"Fashion, Makeup",45,20,Twice a week
1990,Male,Bachelor's,In a Relationship,4 hours,600,0,Text,"Sports, Fitness",40,17,Once a month
2004,Female,High School,Single,3 hours,450,3,Video,"Gaming, Technology",30,14,Once a week
1996,Male,Master's,Married,2.5 hours,400,4,Image,"Music, Movies",35,15,Twice a week
1995,Female,Unknown,Single,1.5 hours,200,2,Text,"Business, Finance",20,9,Once every month
1997,Male,Bachelor's,In a Relationship,3 hours,350,3,Video,"Travel, Adventure",30,12,Once every two weeks
1998,Female,Master's,Married,2 hours,300,2,Image,"Cooking, Baking",25,10,Once a week
2002,Male,High School,Single,3.5 hours,550,5,Text,"Fashion, Makeup",45,20,Twice a week
1992,Female,Bachelor's,In a Relationship,4 hours,600,1,Video,"Music, Literature",40,17,Once a month
1994,Male,Doctoral,Married,2.5 hours,450,4,Image,"Sports, Fitness",35,15,Once a week
2006,Female,Unknown,Single,1.5 hours,200,1,Text,"Business, Finance",20,8,Once every month
1993,Male,High School,Married,3 hours,350,3,Video,"Gaming, Technology",30,12,Once a week
1996,Female,Master's,Single,2 hours,300,2,Image,"Music, Movies",25,11,Twice a week
1990,Male,Bachelor's,In a Relationship,3.5 hours,500,5,Text,"Travel, Adventure",40,18,Once every month
1991,Female,High School,Married,2 hours,400,4,Video,"Cooking, Baking",35,16,Twice a week
1998,Male,Master's,Single,1.5 hours,300,2,Image,"Fashion, Makeup",20,9,Once a month
2000,Female,Unknown,In a Relationship,3 hours,450,3,Text,"Music, Literature",30,14,Once every two weeks
2002,Male,High School,Married,2.5 hours,400,4,Video,"Sports, Fitness",35,15,Once a week
1997,Female,Bachelor's,Single,3 hours,500,5,Image,"Gaming, Technology",40,18,Twice a week
1995,Male,Master's,Married,1 hour,300,2,Text,"Music, Movies",20,9,Once a month
1993,Female,Unknown,Single,4 hours,600,0,Video,"Business, Finance",45,20,Once every two weeks
1990,Male,Bachelor's,Married,3.5 hours,550,5,Image,"Music, Literature",40,18,Twice a week
1998,Female,Master's,Single,2 hours,450,4,Text,"Sports, Fitness",35,15,Once a week
1991,Male,High School,Married,1.5 hours,350,3,Video,"Travel, Adventure",30,12,Once every month
1998,Female,Bachelor's,Single,3 hours,500,5,Image,"Cooking, Baking",40,18,Twice a week
2001,Male,Unknown,In a Relationship,2.5 hours,400,4,Text,"Fashion, Makeup",25,11,Once a month
1994,Female,High School,Married,3.5 hours,500,5,Video,"Music, Literature",45,18,Twice a week
1998,Male,Master's,Single,4 hours,600,6,Image,"Business, Finance",50,20,Once every two months
1991,Female,Bachelor's,In a Relationship,2.5 hours,400,3,Text,"Travel, Adventure",30,12,Once a week
1990,Male,Doctoral,Married,1 hour,200,2,Video,"Cooking, Baking",20,10,Once every month
1995,Female,Unknown,Single,3 hours,550,4,Image,"Fashion, Makeup",35,15,Twice a week
1992,Male,Bachelor's,In a Relationship,4.5 hours,650,0,Video,"Sports, Fitness",45,20,Once a month
2000,Female,High School,Single,2.5 hours,400,3,Text,"Gaming, Technology",30,14,Once a week
1997,Male,Master's,Married,3 hours,450,5,Image,"Music, Movies",40,18,Twice a week
1996,Female,Unknown,Single,2 hours,350,2,Video,"Business, Finance",25,11,Once every month
1998,Male,Bachelor's,In a Relationship,3.5 hours,500,4,Text,"Travel, Adventure",35,15,Once every two weeks
1991,Female,Doctoral,Married,1.5 hours,300,2,Video,"Cooking, Baking",20,9,Once a week
2003,Male,High School,Single,4 hours,600,6,Image,"Fashion, Makeup",45,20,Twice a week
1996,Female,Bachelor's,In a Relationship,2 hours,350,3,Text,"Music, Literature",25,11,Once a month
1990,Male,Master's,Married,3.5 hours,450,5,Video,"Sports, Fitness",35,15,Once a week
1994,Female,Unknown,Single,1 hour,200,2,Image,"Gaming, Technology",20,10,Once every month
1992,Male,High School,In a Relationship,3 hours,550,4,Text,"Travel, Adventure",40,18,Twice a week
1996,Female,Bachelor's,Married,2.5 hours,400,3,Video,"Cooking, Baking",30,12,Once a week
1998,Male,Master's,Single,1.5 hours,300,2,Image,"Music, Movies",25,10,Once every month
1995,Female,Unknown,Married,4 hours,600,6,Text,"Business, Finance",45,20,Twice a week
1998,Male,High School,Single,3.5 hours,500,5,Video,"Fashion, Makeup",35,15,Once a week
1990,Female,Bachelor's,In a Relationship,2 hours,350,3,Image,"Music, Literature",25,12,Once every two weeks
1993,Male,Doctoral,Married,3 hours,550,4,Text,"Sports, Fitness",40,18,Twice a week
1990,Female,High School,Single,2.5 hours,450,3,Video,"Gaming, Technology",30,14,Once a week
1997,Male,Master's,Married,4 hours,600,1,Image,"Music, Movies",45,20,Once every month
1991,Female,Unknown,Single,1.5 hours,300,2,Text,"Business, Finance",20,10,Once every month
1993,Male,High School,In a Relationship,3 hours,550,4,Video,"Travel, Adventure",40,18,Twice a week
1992,Female,Bachelor's,Married,2.5 hours,450,3,Image,"Cooking, Baking",35,16,Once a week
1990,Male,Doctoral,Single,1.5 hours,350,2,Text,"Music, Movies",25,11,Once every month
1998,Female,High School,In a Relationship,3 hours,500,5,Video,"Business, Finance",40,18,Twice a week
2000,Male,Bachelor's,Married,2 hours,400,3,Image,"Travel, Adventure",30,11,Once a week
1992,Female,Bachelor's,Married,3 hours,500,5,Video,"Music, Literature",45,20,Twice a week
1998,Male,Master's,Single,4 hours,600,6,Image,"Business, Finance",50,25,Once every two months
1991,Female,High School,In a Relationship,2.5 hours,400,3,Text,"Travel, Adventure",30,15,Once a week
1990,Male,Doctoral,Married,1 hour,200,2,Video,"Cooking, Baking",20,10,Once every month
1995,Female,Unknown,Single,3 hours,550,4,Image,"Fashion, Makeup",35,18,Twice a week
1992,Male,Bachelor's,In a Relationship,4.5 hours,650,0,Video,"Sports, Fitness",45,22,Once a month
2000,Female,High School,Single,2.5 hours,400,3,Text,"Gaming, Technology",30,14,Once a week
1997,Male,Master's,Married,3 hours,450,5,Image,"Music, Movies",40,18,Twice a week
1996,Female,Unknown,Single,2 hours,350,2,Video,"Business, Finance",25,13,Once every month
1998,Male,Bachelor's,In a Relationship,3.5 hours,500,4,Text,"Travel, Adventure",35,15,Once every two weeks
1991,Female,Doctoral,Married,1.5 hours,300,2,Video,"Cooking, Baking",20,10,Once a week
2004,Male,High School,Single,4 hours,600,6,Image,"Fashion, Makeup",45,20,Twice a week
1997,Female,Bachelor's,In a Relationship,2 hours,350,3,Text,"Music, Literature",25,11,Once a month
1990,Male,Master's,Married,3.5 hours,450,5,Video,"Sports, Fitness",35,17,Once a week
1994,Female,Unknown,Single,1 hour,200,2,Image,"Gaming, Technology",20,10,Once every month
1992,Male,High School,In a Relationship,3 hours,550,4,Text,"Travel, Adventure",40,18,Twice a week
1996,Female,Bachelor's,Married,2.5 hours,400,3,Video,"Cooking, Baking",30,13,Once a week
1999,Male,Master's,Single,1.5 hours,300,2,Image,"Music, Movies",25,12,Once every month
1995,Female,Unknown,Married,4 hours,600,6,Text,"Business, Finance",45,20,Twice a week
1998,Male,High School,Single,3.5 hours,500,5,Video,"Fashion, Makeup",35,15,Once a week
2000,Female,Bachelor's,In a Relationship,2 hours,400,4,Image,"Music, Literature",30,14,Once every two weeks
1991,Male,Doctoral,Married,3 hours,550,3,Text,"Sports, Fitness",40,19,Twice a week
1990,Female,High School,Single,2.5 hours,450,4,Video,"Gaming, Technology",30,12,Once a week
1997,Male,Master's,Married,4 hours,600,6,Image,"Music, Movies",45,20,Once every month
1991,Female,Unknown,Single,1.5 hours,300,2,Text,"Business, Finance",20,10,Once every month
1993,Male,High School,In a Relationship,3 hours,550,4,Video,"Travel, Adventure",40,18,Twice a week
1992,Female,Bachelor's,Married,2.5 hours,450,3,Image,"Cooking, Baking",35,16,Once a week
1990,Male,Doctoral,Single,1.5 hours,350,2,Text,"Music, Movies",25,11,Once every month
1998,Female,High School,In a Relationship,3 hours,500,5,Video,"Business, Finance",40,18,Twice a week
1992,Female,Master's,Married,3.5 hours,700,4,Image,"Music, Movies",55,24,Once a week
2005,Male,High School,Single,5 hours,750,5,Video,"Gaming, Anime",60,30,Twice a week
1991,Female,Bachelor's,In a Relationship,2 hours,600,3,Text,"Literature, Poetry",35,15,Once a week
1993,Male,Doctoral,Married,1.5 hours,300,1,Image,"Science, History",20,8,Once per month
1990,Female,Unknown,Single,4 hours,800,2,Video,"Fashion, Makeup",45,22,Once every two weeks
1995,Male,Bachelor's,In a Relationship,3 hours,900,4,Text,"Business, Finance",50,20,Once a month
1992,Female,High School,Divorced,2.5 hours,550,2,Video,"Adventure, Travel",30,12,Once per month
1996,Male,Master's,Married,4 hours,600,5,Image,"Cooking, Baking",55,25,Twice a week
1998,Female,Bachelor's,Single,3.5 hours,650,3,Video,"Music, Fashion",40,18,Once a week
1999,Male,Doctoral,In a Relationship,2 hours,350,1,Text,"Science, Technology",30,14,Once every two weeks
1991,Female,High School,Married,4 hours,700,5,Image,"Photography, Drawing",50,21,Once a week
1990,Male,Bachelor's,Single,3 hours,650,4,Video,"Social Media, Memes",55,23,Twice a week
1993,Female,Unknown,Divorced,2.5 hours,500,2,Text,"Movies, K-pop",35,15,Once a week
1995,Male,Master's,Married,1.5 hours,300,1,Image,"Gaming, Technology",20,10,Once a month
1998,Female,Bachelor's,Single,4 hours,800,6,Video,"Music, Dance",45,20,Once every two weeks
1994,Male,Doctoral,In a Relationship,2 hours,400,3,Text,"Politics, Current Events",30,13,Once per month
1990,Female,High School,Married,3.5 hours,550,4,Image,"Adventure, Shopping",50,22,Twice a week
1996,Male,Unknown,Single,4 hours,700,5,Video,"Outdoor, Fitness",55,25,Once a week
1997,Female,Bachelor's,In a Relationship,3 hours,600,3,Text,"Cuisine, Gardening",40,17,Twice a week
1995,Male,High School,Divorced,2 hours,450,2,Image,"Social Media, DIY",30,14,Once every two weeks
1992,Female,Doctoral,Married,3.5 hours,700,5,Video,"Art, Painting",50,21,Once a week
1991,Male,Master's,Single,4 hours,800,6,Text,"Business, Politics",60,25,Twice a week
1990,Female,High School,In a Relationship,2.5 hours,550,2,Image,"Photography, Music",35,15,Once a month
1993,Male,Bachelor's,Married,3 hours,600,4,Video,"Travel, Adventure",50,20,Once a week
1997,Female,High School,Single,4.5 hours,750,5,Text,"Literature, Current Events",55,22,Twice a week
1995,Male,Doctoral,Married,2 hours,400,3,Image,"Cooking, Baking",30,13,Once per month
1994,Female,Master's,Divorced,3.5 hours,700,5,Video,"Fashion, Shopping",50,21,Once a week
1993,Male,Unknown,Single,2.5 hours,450,2,Text,"Fitness, Yoga",35,15,Twice a week
1990,Female,Bachelor's,Married,4 hours,800,6,Image,"Memes, Comedy",60,25,Once a week
1990,Male,High School,Married,4 hours,800,5,Video,"Music, Literature",60,30,Once a week
1991,Female,Bachelor's,Single,3.5 hours,700,4,Image,"Fashion, Movies",55,25,Twice a week
1992,Male,Master's,In a Relationship,2 hours,600,3,Text,"Science, Technology",50,20,Once per month
1993,Female,Doctoral,Divorced,5 hours,900,2,Video,"Cooking, Baking",70,40,Once a week
1994,Male,Unknown,Married,1.5 hours,400,2,Image,"Gaming, Anime",45,22,Twice a week
1995,Female,High School,Single,4 hours,800,5,Video,"Photography, Travel",60,30,Once per month
1996,Male,Bachelor's,In a Relationship,3 hours,700,4,Text,"Business, Finance",55,25,Once a week
1997,Female,Master's,Divorced,2.5 hours,600,3,Image,"Music, Fashion",50,20,Twice a week
1998,Male,Doctoral,Married,5 hours,900,3,Video,"Science, Technology",70,40,Once per month
1999,Female,Unknown,Single,1.5 hours,400,2,Text,"Cooking, Baking",45,22,Twice a week
2000,Male,High School,In a Relationship,4 hours,800,5,Image,"Gaming, Anime",60,30,Once a week
2001,Female,Bachelor's,Divorced,3 hours,700,4,Video,"Photography, Travel",55,25,Twice a week
2002,Male,Master's,Married,2.5 hours,600,3,Text,"Business, Finance",50,20,Once per month
1990,Female,Doctoral,Single,5 hours,900,0,Image,"Music, Fashion",70,40,Once a week
1991,Male,Unknown,In a Relationship,1.5 hours,400,2,Video,"Science, Technology",45,22,Twice a week
1992,Female,High School,Divorced,4 hours,800,5,Text,"Cooking, Baking",60,30,Once per month
1993,Male,Bachelor's,Single,3 hours,700,4,Image,"Gaming, Anime",55,25,Once a week
1994,Female,Master's,Married,2.5 hours,600,3,Video,"Photography, Travel",50,20,Twice a week
1995,Male,Doctoral,Divorced,5 hours,900,0,Text,"Business, Finance",70,40,Once per month
1996,Female,Unknown,Single,1.5 hours,400,2,Image,"Music, Fashion",45,22,Once a week
1997,Male,High School,In a Relationship,4 hours,800,5,Video,"Science, Technology",60,30,Twice a week
1998,Female,Bachelor's,Divorced,3 hours,700,4,Text,"Cooking, Baking",55,25,Once a month
1999,Male,Master's,Single,2.5 hours,600,3,Image,"Gaming, Anime",50,20,Once a week
2000,Female,Doctoral,Married,5 hours,900,1,Video,"Photography, Travel",70,40,Once per month
2001,Male,Unknown,Single,1.5 hours,400,2,Text,"Business, Finance",45,22,Once a week
2002,Female,High School,In a Relationship,4 hours,800,5,Image,"Music, Fashion",60,30,Twice a week
1990,Male,Bachelor's,Divorced,3 hours,700,4,Video,"Science, Technology",55,25,Once a month
1991,Female,Master's,Single,2.5 hours,600,3,Text,"Cooking, Baking",50,20,Once a week
1992,Male,Doctoral,Married,5 hours,900,1,Image,"Gaming, Anime",70,40,Once per month
1993,Female,Unknown,Single,1.5 hours,400,2,Video,"Photography, Travel",45,22,Twice a week
1994,Male,High School,In a Relationship,4 hours,800,5,Text,"Business, Finance",60,30,Once a week
1995,Female,Bachelor's,Divorced,3 hours,700,4,Image,"Music, Fashion",55,25,Once a month
1996,Male,Master's,Single,2.5 hours,600,3,Video,"Science, Technology",50,20,Once a week
1997,Female,Doctoral,Married,5 hours,900,0,Text,"Cooking, Baking",70,40,Once per month
1998,Male,Unknown,Single,1.5 hours,400,2,Image,"Gaming, Anime",45,22,Once a week
1999,Female,High School,In a Relationship,4 hours,800,5,Video,"Photography, Travel",60,30,Twice a week
1993,Female,Master's,Single,3 hours,500,2,Image,"Travel, Photography",40,15,Once a week
1990,Male,Doctoral,Married,2 hours,200,1,Text,"Science, History",20,10,Once per month
1991,Female,Bachelor's,In a Relationship,4 hours,800,3,Video,"Art, Literature",50,30,Twice a week
1995,Male,High School,Single,5 hours,900,5,Image,"Gaming, Anime",70,35,Once per month
1998,Female,Master's,Married,2.5 hours,600,2,Text,"Cooking, Gardening",25,20,Once every two weeks
1992,Male,Unknown,Divorced,1 hour,300,0,Video,"Business, Finance",15,5,Once per quarter
1997,Female,Bachelor's,Single,3.5 hours,700,4,Image,"Fashion, Makeup",55,25,Once a month
1996,Male,High School,In a Relationship,4 hours,600,3,Text,"Sports, Fitness",60,30,Once a week
1994,Female,Master's,Married,3 hours,1000,6,Video,"Travel, Adventure",80,40,Twice a week
1999,Male,Doctoral,Single,2.5 hours,800,3,Image,"Technology, Science",30,15,Once every three months
2001,Female,High School,In a Relationship,5 hours,1200,4,Video,"Social Media, Travel",75,35,Daily
2002,Male,Bachelor's,Married,1.5 hours,400,1,Text,"Music, Literature",35,20,Once per month
1998,Female,Master's,Single,4 hours,700,3,Image,"Art, Painting",50,25,Once a week
1993,Male,Unknown,In a Relationship,5 hours,500,5,Video,"Science, History",40,20,Once every two weeks
1996,Female,Bachelor's,Married,2 hours,800,2,Text,"Literature, Poetry",55,30,Once a week
1995,Male,Doctoral,Single,3.5 hours,600,2,Image,"Business, Finance",65,35,Once a month
1992,Female,High School,In a Relationship,4 hours,900,5,Video,"Travel, Adventure",75,40,Daily
1991,Male,Master's,Married,1 hour,150,1,Text,"Cooking, Gardening",10,5,Once per quarter
1994,Female,Bachelor's,Single,3 hours,800,3,Image,"Art, Literature",50,25,Twice a week
1997,Male,Unknown,Married,2.5 hours,400,2,Video,"Sports, Fitness",35,20,Once a week
1999,Female,High School,In a Relationship,4 hours,900,5,Text,"Fashion, Makeup",60,35,Daily
1990,Male,Master's,Single,2 hours,200,1,Image,"Technology, Science",25,15,Once a month
1992,Female,Doctoral,Married,5 hours,1000,4,Video,"Music, Dance",75,40,Twice a week
1996,Male,High School,Divorced,1.5 hours,400,1,Text,"Business, Finance",10,5,Once per quarter
1995,Female,Bachelor's,Single,3.5 hours,800,3,Image,"Art, Literature",50,25,Once a month
1994,Male,Master's,In a Relationship,4 hours,700,5,Video,"Travel, Photography",65,30,Once a week
1998,Female,Unknown,Married,3 hours,600,2,Text,"Cooking, Baking",40,20,Once per month
1999,Male,High School,Single,5 hours,900,6,Image,"Gaming, Anime",75,40,Once a month
1997,Female,Bachelor's,In a Relationship,2.5 hours,700,3,Video,"Fashion, Makeup",50,25,Once a week
1996,Male,Master's,Married,4 hours,800,4,Text,"Business, Finance",65,30,Twice a week
1995,Female,Unknown,Single,1.5 hours,400,1,Image,"Art, Painting",20,10,Once per quarter
1994,Male,Doctoral,In a Relationship,3.5 hours,600,3,Video,"Sports, Fitness",55,30,Once a week
1993,Female,High School,Married,2 hours,500,2,Text,"Travel, Photography",35,20,Once a month
1992,Male,Bachelor's,Single,4 hours,800,5,Image,"Science, History",45,25,Twice a week
1991,Female,Unknown,In a Relationship,5 hours,900,6,Video,"Music, Dance",70,35,Daily
1990,Male,High School,Married,2 hours,300,2,Text,"Technology, Science",25,10,Once per month
1998,Female,Bachelor's,Single,3.5 hours,800,3,Image,"Travel, Photography",50,25,Once a week
1994,Male,Doctoral,Married,4 hours,900,0,Video,"Science, History",70,35,Twice a week
1992,Female,High School,Married,2 hours,300,2,Text,"Travel, Photography",30,15,Once per month
1994,Male,Bachelor's,Single,4 hours,800,5,Image,"Science, History",50,20,Twice a week
1996,Female,Doctoral,In a Relationship,1 hour,150,1,Video,"Art, Literature",35,10,Once every two weeks
1998,Male,Master's,Single,3.5 hours,700,3,Text,"Business, Finance",40,25,Once a week
1999,Female,Bachelor's,Married,5 hours,1200,6,Image,"Music, Dance",60,30,Once a month
1991,Male,High School,Single,2 hours,500,1,Video,"Gaming, Anime",25,15,Twice a week
1995,Female,Unknown,Married,4 hours,900,4,Text,"Cooking, Baking",55,20,Once every two weeks
1993,Male,Doctoral,Single,1.5 hours,600,2,Image,"Fashion, Makeup",35,15,Once a month
1997,Female,Bachelor's,In a Relationship,3 hours,700,3,Video,"Social Media, Travel",45,25,Once a week
1994,Male,High School,Married,4.5 hours,800,5,Text,"Technology, Science",65,30,Once every two months
1995,Female,Unknown,Single,3.5 hours,600,3,Image,"Travel, Photography",50,20,Once a week
1998,Male,Bachelor's,In a Relationship,2 hours,400,2,Video,"Music, Dance",35,15,Twice a week
1997,Female,High School,Married,5 hours,1200,4,Text,"Science, History",70,25,Once a week
1991,Male,Master's,Single,1.5 hours,300,1,Image,"Business, Finance",20,10,Once a month
1990,Female,Doctoral,Married,3 hours,700,3,Video,"Travel, Photography",50,30,Once a week
1992,Male,High School,Single,4 hours,800,4,Text,"Fashion, Makeup",65,20,Once every two weeks
1996,Female,Unknown,In a Relationship,2.5 hours,600,2,Image,"Gaming, Anime",35,15,Once a month
1995,Male,Bachelor's,Married,3.5 hours,700,3,Video,"Social Media, Travel",45,25,Once a week
